id,type,abscnseq,ascat,estimate,purbayes
TCGA-EL-A3D0-01,THCA,0.37,0.78,0.852271039611,0.943869
TCGA-B5-A0K7-01,UCEC,0.43,1.0,,0.7564332
TCGA-CD-8528-01,STAD,0.51,0.43,0.816065115112,0.5091676
TCGA-39-5031-01,LUSC,0.42,0.32,0.736963488197,0.6968354
TCGA-04-1335-01,OV,0.74,0.73,,0.8224128
TCGA-5L-AAT1-01,BRCA,0.2,,0.565072490834,0.3599711
TCGA-BA-4077-01,HNSC,0.6,0.67,0.76481306381,0.6042258
TCGA-13-0924-01,OV,0.52,0.43,0.743738094707,0.4980273
TCGA-A2-A0YE-01,BRCA,0.71,0.61,0.869113144091,0.9525997
TCGA-VN-A88I-01,PRAD,0.21,,0.769491776086,0.1219541
TCGA-CD-8529-01,STAD,0.21,0.2,0.533075454926,0.1996783
TCGA-BR-6457-01,STAD,0.36,0.35,0.549692289092,0.1738379
TCGA-QU-A6IL-01,PRAD,0.65,0.78,0.921477126565,0.7899596
TCGA-HU-A4HD-01,STAD,0.55,0.51,0.868748186434,0.9800394
TCGA-EE-A2M6-06,SKCM,0.82,0.68,0.805167012026,0.9993964
TCGA-DB-5276-01,LGG,0.4,0.42,0.819966848876,0.4465627
TCGA-KN-8432-01,KICH,0.69,0.84,0.898457586089,0.6771955
TCGA-BA-4078-01,HNSC,0.75,0.81,0.767117111779,0.9994361
TCGA-EM-A3O6-01,THCA,0.39,0.66,0.894984100006,0.5417205
TCGA-74-6577-01,GBM,0.43,0.55,,0.9801629
TCGA-EI-6514-01,CRC,0.72,0.66,0.861144127985,0.9802831
TCGA-DA-A1I7-06,SKCM,0.54,0.54,0.775359380531,0.9979799
TCGA-DJ-A3UK-01,THCA,0.24,0.24,0.860485374966,0.7973507
TCGA-HT-7676-01,LGG,0.76,0.81,0.848740531532,0.893608
TCGA-61-2003-01,OV,0.54,0.44,0.682651099618,0.2361046
TCGA-CV-7242-01,HNSC,0.48,0.33,0.825689680665,0.4961703
TCGA-24-2298-01,OV,0.66,0.63,0.85023654535,0.3753073
TCGA-D9-A6E9-06,SKCM,0.35,0.28,0.540194129341,0.4400618
TCGA-R5-A7ZR-01,STAD,0.56,,0.901888927933,0.7235316
TCGA-A8-A06X-01,BRCA,0.53,0.55,0.786381604996,0.8942322
TCGA-BJ-A28V-01,THCA,0.36,0.27,0.965693668566,0.6642151
TCGA-E2-A15P-01,BRCA,0.45,0.61,0.834666726595,0.5445489
TCGA-D1-A3DG-01,UCEC,0.89,0.86,0.968971656615,0.9089346
TCGA-AA-3862-01,CRC,,0.55,,
TCGA-X7-A8DC-01,THYM,0.65,,,0.1348457
TCGA-B6-A3ZX-01,BRCA,0.29,0.21,0.581820446468,0.2878175
TCGA-ZJ-AAXJ-01,CESC,0.69,,0.904441058271,0.6819129
TCGA-46-3765-01,LUSC,0.58,0.36,0.76498052699,0.4643569
TCGA-97-7938-01,LUAD,0.36,0.6,0.768456851871,0.5538516
TCGA-56-8504-01,LUSC,0.36,0.35,0.774315485677,0.4803267
TCGA-ZJ-AAXT-01,CESC,0.51,,0.894945796274,0.5976515
TCGA-EB-A6QZ-01,SKCM,0.77,0.85,0.911575436964,
TCGA-CV-5979-01,HNSC,0.75,0.82,0.886421701775,0.7724746
TCGA-AX-A3G1-01,UCEC,0.51,0.55,0.823400661858,0.8417987
TCGA-55-8512-01,LUAD,0.5,0.22,0.827941468123,0.3317133
TCGA-AN-A0XL-01,BRCA,0.35,0.5,0.742886997873,0.4063659
TCGA-DB-5280-01,LGG,0.46,0.83,0.931285349208,0.8609089
TCGA-CS-6188-01,LGG,0.44,0.64,0.849535326729,0.6273691
TCGA-DV-A4VX-01,KIRC,0.53,0.66,0.794656395686,0.7469907
TCGA-JW-A852-01,CESC,0.4,,0.887761311919,0.6473428
TCGA-AA-3492-01,CRC,0.48,0.79,0.845587806155,0.7740878
TCGA-05-5428-01,LUAD,0.95,0.55,0.708218410151,0.5543896
TCGA-DA-A960-01,SKCM,0.79,,0.936317435277,
TCGA-A5-A0GA-01,UCEC,0.37,0.53,,0.4882457
TCGA-CJ-4638-01,KIRC,0.4,0.59,0.807059813324,0.6263015
TCGA-CQ-5325-01,HNSC,0.3,1.0,0.519906262251,0.1679153
TCGA-AO-A03V-01,BRCA,0.71,0.51,0.851556397889,0.7044812
TCGA-D3-A51F-06,SKCM,0.2,0.36,0.337651035448,0.1560159
TCGA-CV-5976-01,HNSC,0.51,0.57,0.860231386707,0.5149699
TCGA-CX-7082-01,HNSC,0.67,0.66,0.870827865494,0.6897446
TCGA-DC-6157-01,CRC,0.75,0.71,0.907540550173,0.962942
TCGA-J4-A67Q-01,PRAD,0.43,0.43,0.8049520293,0.2426415
TCGA-YC-A89H-01,BLCA,0.42,,0.866360625706,0.645427
TCGA-13-0883-01,OV,0.6,0.57,0.750581080446,0.6409393
TCGA-FZ-5926-01,PAAD,0.28,1.0,,0.08481812
TCGA-DA-A1IA-06,SKCM,0.91,0.76,0.929748437091,0.9993196
TCGA-EE-A2MF-06,SKCM,0.73,0.69,0.853810408012,0.8275674
TCGA-A2-A04W-01,BRCA,0.44,0.28,0.770550666926,0.2213721
TCGA-BR-8682-01,STAD,0.42,0.27,0.680108827367,0.4000929
TCGA-AP-A0LM-01,UCEC,0.2,0.29,,
TCGA-32-1976-01,GBM,0.5,0.66,,0.7996867
TCGA-C5-A1M5-01,CESC,0.49,0.73,0.812223858332,0.7298156
TCGA-B0-5110-01,KIRC,0.37,0.5,0.629098461401,0.4704461
TCGA-42-2591-01,OV,0.79,0.79,,0.8699178
TCGA-A3-3347-01,KIRC,0.58,0.21,0.432552618685,0.3657651
TCGA-FS-A1ZY-06,SKCM,0.85,0.8,0.944341363108,0.9926452
TCGA-BH-A0HL-01,BRCA,0.43,0.83,0.966356307454,
TCGA-BC-A10Q-01,LIHC,0.64,0.64,0.877383003922,0.5197639
TCGA-FK-A3SE-01,THCA,0.37,0.28,0.884629570214,0.7623621
TCGA-BH-A0E0-01,BRCA,0.6,0.54,0.876448722687,0.9027352
TCGA-12-1602-01,GBM,0.72,0.69,,0.9181233
TCGA-EB-A1NK-01,SKCM,0.51,0.62,0.823304402679,
TCGA-ZB-A96P-01,THYM,0.48,,0.77673812668,0.141645
TCGA-64-1680-01,LUAD,0.32,0.58,0.838402736982,0.9157075
TCGA-EL-A3GX-01,THCA,0.26,0.51,0.790717726513,0.6882275
TCGA-MT-A7BN-01,HNSC,0.52,,0.689441307609,0.981096
TCGA-BR-8297-01,STAD,0.38,0.32,0.745324130774,0.6180369
TCGA-FG-5963-01,LGG,0.26,0.42,0.764388112863,0.4311834
TCGA-ET-A3BO-01,THCA,0.26,0.28,0.744010877825,0.6605521
TCGA-34-2600-01,LUSC,0.66,0.76,0.927819127102,0.9997799
TCGA-QS-A8F1-01,UCEC,0.72,,0.889669317976,0.5157419
TCGA-2A-AAYO-01,PRAD,0.31,,0.795949394758,0.6242322
TCGA-60-2703-01,LUSC,0.28,0.24,0.811658868244,0.2251186
TCGA-DQ-5629-01,HNSC,0.59,0.55,0.919576482374,0.9963014
TCGA-BQ-5880-01,KIRP,0.26,,0.704193125552,0.4071273
TCGA-B0-5705-01,KIRC,0.47,0.55,0.678447099621,0.5529523
TCGA-61-2104-01,OV,0.67,0.66,0.820434992658,0.9804441
TCGA-GD-A3OQ-01,BLCA,0.47,0.61,0.924324841199,0.8354744
TCGA-A8-A093-01,BRCA,0.71,0.75,0.823519353588,0.9962805
TCGA-NC-A5HR-01,LUSC,0.92,0.63,0.919748936128,0.9373852
TCGA-A2-A0CK-01,BRCA,0.5,0.5,0.746329003531,0.4269855
TCGA-D3-A2JK-06,SKCM,0.46,0.64,0.766742464257,0.6327866
TCGA-EB-A553-01,SKCM,0.74,0.54,0.775770189479,
TCGA-FG-A4MW-01,LGG,0.52,0.66,0.922255035991,0.6281883
TCGA-A8-A090-01,BRCA,0.57,0.46,0.722315968113,0.6062164
TCGA-YL-A8HJ-01,PRAD,0.22,,0.766371438157,0.2582798
TCGA-06-2562-01,GBM,0.62,0.7,0.780166807931,0.7238574
TCGA-BP-4962-01,KIRC,0.2,0.51,0.472226647577,0.3671773
TCGA-25-1313-01,OV,0.91,0.52,0.750402041585,0.4398033
TCGA-85-7697-01,LUSC,0.36,0.22,0.797929114587,0.3195728
TCGA-CD-5803-01,STAD,0.33,0.31,0.406388541994,0.2126912
TCGA-RS-A6TP-01,HNSC,0.82,,0.926921508757,0.9981903
TCGA-98-8021-01,LUSC,0.46,0.53,,0.3416315
TCGA-D8-A1X8-01,BRCA,0.4,0.37,0.695885338953,0.2991289
TCGA-CV-7425-01,HNSC,0.5,0.31,0.79469212758,0.4178792
TCGA-AA-3977-01,CRC,0.35,0.67,,0.574548
TCGA-LP-A4AW-01,CESC,0.39,0.39,0.807961584689,0.3338607
TCGA-BQ-5876-01,KIRP,0.93,,0.921264739196,0.7403417
TCGA-B6-A0IP-01,BRCA,0.47,0.58,0.817013686348,0.4190728
TCGA-D1-A174-01,UCEC,0.32,0.44,,0.6174374
TCGA-BR-7722-01,STAD,0.37,0.65,0.782623131048,0.7702816
TCGA-5R-AAAM-01,LIHC,0.37,,0.71659958505,0.4010065
TCGA-HC-7740-01,PRAD,,1.0,0.738611264726,
TCGA-FD-A6TI-01,BLCA,0.42,0.38,0.902259176994,0.4666873
TCGA-AA-3502-01,CRC,0.54,0.83,0.904677069802,0.866826
TCGA-D1-A0ZS-01,UCEC,0.67,0.57,,0.7033794
TCGA-OL-A5D6-01,BRCA,0.43,0.51,0.708638921552,0.3566012
TCGA-ZG-A8QW-01,PRAD,0.23,,0.835826087804,0.2635022
TCGA-49-4512-01,LUAD,0.62,0.3,0.641054834062,0.2709425
TCGA-A3-3351-01,KIRC,0.38,0.54,0.513324680768,0.4329532
TCGA-78-7154-01,LUAD,0.59,0.44,0.849240613353,0.9317537
TCGA-EJ-7788-01,PRAD,0.27,0.67,0.882162583112,0.973452
TCGA-DZ-6133-01,KIRP,0.52,,0.948945316837,0.8293674
TCGA-YL-A9WK-01,PRAD,0.66,,0.831260941971,0.6471931
TCGA-CV-A6JD-01,HNSC,0.37,0.59,0.702323414978,0.9919157
TCGA-85-8350-01,LUSC,0.51,0.48,0.762753126931,0.5372691
TCGA-Q1-A5R3-01,CESC,0.63,0.69,0.846748120337,0.7487356
TCGA-CV-6003-01,HNSC,0.7,0.54,0.90772874381,0.420991
TCGA-DS-A0VK-01,CESC,0.91,0.58,0.897575637951,0.6083226
TCGA-A8-A09T-01,BRCA,0.54,0.59,0.773706217783,0.9967887
TCGA-63-6202-01,LUSC,0.43,0.26,0.526356649697,0.7944786
TCGA-EL-A4JV-01,THCA,0.33,1.0,0.920753033711,0.8502896
TCGA-BH-A0B4-01,BRCA,0.47,0.57,0.680435949156,0.4676954
TCGA-A7-A0CJ-01,BRCA,0.7,0.74,0.875490748739,0.8883744
TCGA-63-7020-01,LUSC,0.53,0.46,0.7664750401,0.8690464
TCGA-B6-A401-01,BRCA,0.44,0.25,0.727293053074,0.3674403
TCGA-2F-A9KP-01,BLCA,0.55,,0.975600204397,0.8381369
TCGA-10-0927-01,OV,0.84,0.7,0.933693693637,0.3594114
TCGA-VN-A943-01,PRAD,0.29,,0.993911808035,0.7960353
TCGA-D8-A27L-01,BRCA,0.32,0.42,0.663197488163,0.2687951
TCGA-A1-A0SE-01,BRCA,0.36,0.48,0.804319519055,0.3276548
TCGA-CV-6940-01,HNSC,0.51,0.6,0.873874882244,0.4480294
TCGA-BP-4983-01,KIRC,0.34,0.54,0.507699962838,0.2156601
TCGA-HZ-A9TJ-06,PAAD,0.41,,0.863867160762,
TCGA-55-8208-01,LUAD,0.2,0.35,0.415638954391,0.1324979
TCGA-24-1104-01,OV,0.58,0.5,0.802434197534,0.666059
TCGA-CV-6943-01,HNSC,0.23,0.24,0.454535192162,0.1764614
TCGA-BP-4760-01,KIRC,0.33,0.42,0.758739943845,0.5607232
TCGA-AG-A016-01,CRC,0.77,0.82,,0.8416246
TCGA-29-1783-01,OV,0.63,0.64,0.770843622093,0.2323497
TCGA-DJ-A13M-01,THCA,0.47,0.78,0.932986537334,0.8725111
TCGA-HE-A5NF-01,KIRP,0.51,,0.693290495999,0.3018656
TCGA-BB-8601-01,HNSC,0.72,0.72,0.980682234567,0.7225854
TCGA-IB-AAUO-01,PAAD,0.26,,0.750964669179,0.3100032
TCGA-EJ-A65B-01,PRAD,0.26,0.28,0.875084380096,0.1373678
TCGA-A7-A6VY-01,BRCA,0.4,,0.673212376816,0.5649157
TCGA-EO-A22S-01,UCEC,0.4,0.35,,0.8181168
TCGA-FD-A43U-01,BLCA,0.38,0.35,0.51606621969,0.2074859
TCGA-CN-A6UY-01,HNSC,0.82,,0.794008444242,0.8292288
TCGA-B6-A0IE-01,BRCA,0.58,0.57,0.84709201205,0.1374712
TCGA-61-2611-02,OV,0.39,0.27,,
TCGA-95-A4VK-01,LUAD,0.7,0.36,0.770185039734,0.4913057
TCGA-E9-A24A-01,BRCA,0.39,0.56,0.642212162584,0.4676375
TCGA-HE-7129-01,KIRP,0.92,,0.955621475216,0.8993757
TCGA-BJ-A0ZH-01,THCA,0.27,0.21,0.843378838392,0.5750328
TCGA-17-Z015-01,LUAD,,,,
TCGA-IB-AAUN-01,PAAD,0.5,,0.759841650695,0.5164406
TCGA-66-2770-01,LUSC,0.42,0.5,0.692359879911,0.9774891
TCGA-EJ-8469-01,PRAD,0.69,0.74,,0.7221662
TCGA-CN-5364-01,HNSC,0.42,0.44,0.793488566802,0.3538086
TCGA-B0-4827-01,KIRC,0.21,0.24,0.507324804491,0.3530815
TCGA-29-1699-01,OV,0.61,0.88,0.755477036944,0.9882328
TCGA-CR-6467-01,HNSC,0.89,0.63,0.724013185427,0.7113104
TCGA-VS-A954-01,CESC,0.66,,0.861375312103,0.7026806
TCGA-EB-A41B-01,SKCM,0.8,0.77,0.924742739611,
TCGA-L5-A8NF-01,ESCA,0.62,,0.935095936124,0.6465697
TCGA-17-Z021-01,LUAD,,,,
TCGA-BB-4217-01,HNSC,0.33,1.0,0.681564429916,0.1463792
TCGA-EB-A4IQ-01,SKCM,0.41,0.43,0.932469645128,
TCGA-AR-A1AS-01,BRCA,0.55,0.78,0.831552317927,0.7568527
TCGA-L5-A8NI-01,ESCA,0.5,,0.852298284927,0.6312717
TCGA-J4-A67N-01,PRAD,0.4,0.7,0.8894797239,0.6470078
TCGA-KB-A6F7-01,STAD,0.43,1.0,0.800916179511,0.6454826
TCGA-CR-7385-01,HNSC,0.31,0.52,0.761761189277,0.2798078
TCGA-DD-A1EF-01,LIHC,0.45,0.57,0.850405567578,0.7411667
TCGA-CQ-7072-01,HNSC,0.36,0.34,0.757997996388,0.4001046
TCGA-B1-A47N-01,KIRP,0.61,,0.845834136379,0.7757054
TCGA-PL-A8LV-01,BRCA,0.57,,0.774755461177,0.5932075
TCGA-A3-3308-01,KIRC,0.32,0.39,0.606416057718,0.4073359
TCGA-EM-A4FV-01,THCA,0.26,0.31,0.758342540462,0.3439349
TCGA-24-1927-01,OV,0.93,0.77,,0.6251286
TCGA-D9-A4Z5-01,SKCM,0.8,0.69,0.829030610421,
TCGA-D1-A1O0-01,UCEC,0.85,0.78,,0.8888601
TCGA-BJ-A45G-01,THCA,0.27,0.33,0.906959150327,0.7923992
TCGA-BD-A2L6-01,LIHC,0.6,0.78,0.861832071132,0.8035511
TCGA-39-5035-01,LUSC,0.47,0.43,0.682729307106,0.4351699
TCGA-XM-AAZ2-01,THYM,0.46,,0.806523619119,0.7927914
TCGA-56-A4ZK-01,LUSC,0.5,0.35,0.743256970124,0.4626226
TCGA-17-Z057-01,LUAD,,,,
TCGA-EM-A2CM-01,THCA,,0.77,0.951514644273,
TCGA-61-2000-01,OV,0.94,0.78,0.835726593738,0.9709969
TCGA-C8-A12K-01,BRCA,0.34,0.33,0.563999358633,0.9803339
TCGA-2A-A8W3-01,PRAD,0.31,,0.927620642093,0.3141194
TCGA-18-3408-01,LUSC,0.7,0.57,0.749624631435,0.7463411
TCGA-EJ-5512-01,PRAD,0.22,0.37,0.942795345608,0.301088
TCGA-HT-8114-01,LGG,0.41,0.57,0.793440421804,0.7847208
TCGA-CQ-7063-01,HNSC,0.41,0.29,0.716034551448,0.4086956
TCGA-FS-A4F8-06,SKCM,0.23,0.26,0.488192063721,0.3064306
TCGA-AG-A036-01,CRC,,0.51,,
TCGA-FG-A711-01,LGG,0.57,,0.954631339427,0.7160033
TCGA-US-A774-01,PAAD,0.2,0.49,0.595325238375,0.03457933
TCGA-55-1595-01,LUAD,0.65,0.53,0.69375936503,0.4180479
TCGA-ZP-A9D2-01,LIHC,0.66,,0.869178429782,0.684525
TCGA-AC-A2QI-01,BRCA,0.44,0.56,0.666579115358,0.4947734
TCGA-55-1596-01,LUAD,0.63,0.57,0.842445299572,0.7120379
TCGA-XF-A9SJ-01,BLCA,0.4,,0.709458207227,0.2740587
TCGA-EK-A2PM-01,CESC,0.7,0.58,0.97631752866,0.7647402
TCGA-AA-3861-01,CRC,,0.45,,
TCGA-AC-A6IX-01,BRCA,0.53,0.47,0.659007950324,0.4423093
TCGA-HT-7474-01,LGG,0.42,0.45,0.952459467138,0.480036
TCGA-EB-A3XE-01,SKCM,0.44,0.42,0.780352939727,
TCGA-AX-A2IO-01,UCEC,0.6,0.57,,0.9938081
TCGA-L5-A4OO-01,ESCA,0.36,0.42,0.653475417313,0.3490186
TCGA-78-7147-01,LUAD,0.55,0.55,0.83307330266,0.5224906
TCGA-ET-A2N0-01,THCA,0.3,1.0,0.816242143761,0.6465104
TCGA-CX-7085-01,HNSC,0.33,1.0,0.44911809655,0.1511179
TCGA-EL-A3D1-01,THCA,0.3,0.73,0.821001251938,0.7728373
TCGA-EL-A3TB-01,THCA,0.32,1.0,0.86288218431,0.7164464
TCGA-23-1117-01,OV,0.7,0.61,,0.9954505
TCGA-CQ-7071-01,HNSC,0.45,0.54,0.75706177159,0.5341719
TCGA-AN-A0FK-01,BRCA,0.48,0.5,0.842982124348,0.7427357
TCGA-WE-A8ZR-06,SKCM,,,0.897217086935,
TCGA-DJ-A13U-01,THCA,0.31,0.4,0.916051088065,0.8144615
TCGA-41-2571-01,GBM,0.56,0.7,0.900294811767,0.6732769
TCGA-C8-A27B-01,BRCA,0.6,0.58,0.724194206547,0.6244618
TCGA-EJ-A7NM-01,PRAD,0.27,,0.82643366169,0.581794
TCGA-J4-A67S-01,PRAD,0.28,0.44,0.911206232029,0.2731037
TCGA-E2-A15S-01,BRCA,0.53,0.67,0.948881489698,0.861837
TCGA-X7-A8DJ-01,THYM,0.27,,0.639064728083,0.1476619
TCGA-XF-A9SU-01,BLCA,0.25,,0.729956823666,0.222626
TCGA-D3-A3C1-06,SKCM,0.48,0.48,0.806067499299,0.3972467
TCGA-AG-3878-01,CRC,0.48,0.32,,0.3496891
TCGA-BH-A0DG-01,BRCA,0.51,0.42,0.616461778097,0.3982751
TCGA-BF-A1PU-01,SKCM,0.74,0.8,0.931173010715,
TCGA-BH-A0H5-01,BRCA,0.21,1.0,0.436435357099,0.0785349
TCGA-A2-A1G6-01,BRCA,0.63,0.35,0.757989094661,0.1308035
TCGA-MF-A522-01,LUSC,0.82,,0.935112832082,0.9991986
TCGA-KK-A8IG-01,PRAD,0.3,,0.842216605584,0.5996438
TCGA-QS-A5YR-01,UCEC,0.46,0.56,0.78593516318,0.5384672
TCGA-XU-A92Q-01,THYM,0.47,,0.691237456269,0.8534854
TCGA-H8-A6C1-01,PAAD,0.41,0.42,0.707091683787,0.3783223
TCGA-EY-A1GX-01,UCEC,0.85,0.91,0.992056473553,0.986795
TCGA-VN-A88M-01,PRAD,0.29,,0.958395793852,0.6786139
TCGA-13-0726-01,OV,0.61,0.71,0.880497058886,0.7393686
TCGA-A4-A6HP-01,KIRP,0.44,,0.763101387645,0.6800569
TCGA-GU-A764-01,BLCA,0.46,,0.704854033866,0.2052049
TCGA-RP-A690-06,SKCM,0.35,0.78,0.912621452133,0.8661985
TCGA-A7-A4SD-01,BRCA,0.51,0.48,0.682851650127,0.3350911
TCGA-AP-A0LN-01,UCEC,0.37,1.0,,0.7328866
