sample,THCA,OV,LUSC,LIHC,HNSC,UCEC,BRCA,LUAD,SKCM,STAD,CRC,ESCA,GBM,KIRC,CESC,KIRP,PRAD,BLCA,PAAD,LGG
RAB4B,4.9856,4.1659,5.1235,3.4437,4.282,4.3841,4.0348,5.1571,5.6416,4.5476,5.2765,3.1096,5.9545,4.1269,4.6566,4.6014,4.8603,4.656,5.3415,5.9545
TIGAR,1.6234,0.8123,2.6681,1.0503,2.4583,1.5215,2.1247,2.5804,3.4251,1.9657,2.5213,1.8119,2.1957,2.3133,1.3735,1.9894,1.9034,2.7139,2.55,2.1957
RNF44,4.0679,5.0283,3.8645,1.9731,3.6617,3.8157,3.772,3.9783,4.0687,4.1028,4.2965,3.7193,4.3349,3.5767,2.9432,4.0036,3.5187,3.8431,4.1258,4.3349
DNAH3,0.03,0.044,0.4853,0.0014,0.4602,0.1257,0.1124,0.5568,0.099,0.2519,1.0007,0.0854,0.0718,0.0718,0.0014,0.058,0.0854,0.3115,0.2022,0.0718
RPL23A,9.6969,11.0095,9.4246,8.4428,9.7492,10.4957,10.0652,9.3889,10.7261,9.3665,9.6571,8.4743,7.8606,9.1149,10.9914,8.9453,10.0199,10.1384,9.5323,7.8606
ARL8B,5.3463,4.7903,5.2562,3.5418,5.2242,4.9846,5.2028,5.3729,5.1269,4.8501,4.7203,4.3612,6.0063,5.1659,5.0343,4.9782,5.1934,5.0131,4.9924,6.0063
CALB2,0.0718,2.0809,1.365,0.044,1.8658,0.9935,4.6218,1.3901,0.4657,0.7536,2.9413,0.4657,5.2604,0.058,0.8246,0.1388,0.4499,0.9716,2.336,5.2604
DACH1,0.0718,0.4447,2.2781,0.4125,0.2215,2.0707,2.2082,2.1798,0.0854,0.6561,1.2576,0.3346,0.9789,2.8858,1.5465,2.6838,2.4237,0.9789,0.8869,0.9789
FMO2,1.9786,1.478,6.0869,0.7233,4.6281,1.5064,5.5239,6.3536,1.5013,1.5633,0.5955,1.4911,0.3115,3.0978,1.0433,2.6347,1.8642,0.6425,1.6111,0.3115
ZNF708,2.3308,2.59,1.6211,0.434,0.7748,1.7142,2.2452,1.595,1.7185,1.5732,1.3846,1.3623,2.4649,1.5758,1.2271,1.3213,2.103,1.177,1.831,2.4649
MYADML2,0.0158,0.0158,0.0158,0.0014,0.4179,0.0158,0.03,0.0014,0.044,0.03,0.0718,0.03,1.5315,0.0158,0.03,0.0218,0.044,0.0014,0.0417,1.5315
PHEX,0.7233,0.4865,0.8487,0.0158,0.1965,0.5666,0.517,0.9568,0.2998,0.1711,0.1124,0.058,0.2277,0.1776,1.3623,0.1257,0.246,0.1257,0.1279,0.2277
MOGAT2,0.0014,0.0158,0.0158,5.3012,0.1188,0.03,1.4441,0.0158,0.3346,2.5608,6.0954,0.1388,0.0014,0.6421,0.0718,1.0221,1.7484,0.6145,0.1189,0.0014
PFN2,6.7084,5.4089,4.1061,2.7677,4.7697,5.9117,5.3324,4.0366,5.2323,4.31,4.5136,3.3221,7.9592,6.554,5.7135,6.3403,5.9995,5.5677,4.5273,7.9592
RMND5A,3.1096,2.8887,3.2018,3.4476,3.6119,3.6006,4.0541,3.3534,3.0961,3.2714,4.1946,2.8994,3.834,3.9445,3.2766,3.6872,3.5212,3.4398,2.9708,3.834
RAD23A,5.9794,5.9223,5.9988,5.3622,5.8705,6.1102,5.8505,5.9982,6.4063,5.7928,5.9286,5.0887,6.2258,5.521,6.1868,5.7843,6.0837,6.0435,6.0231,6.2258
TUBB4A,0.1124,0.5468,0.2642,0.2522,0.2338,0.4657,0.1903,0.3231,2.4649,0.6712,1.2022,0.2881,8.9009,1.6045,0.1648,1.8714,0.1903,0.2642,1.8818,8.9009
OR2D2,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
SERPINB11,0.0014,0.0014,0.0854,0.0014,2.3866,0.0014,0.0014,0.058,0.0014,0.0264,0.0014,0.1519,0.03,0.0014,0.0014,0.0014,2.8596,0.4125,0.0014,0.03
COX10,2.7721,2.1717,2.4518,2.0793,3.0109,2.5363,2.8158,2.4117,2.602,2.9488,3.5767,2.4544,2.1147,3.2228,2.3251,3.1892,2.7562,2.8137,2.4512,2.1147
GJA4,3.4869,3.3731,4.0622,2.6532,1.6558,4.4006,3.5199,3.8116,3.7291,2.2768,1.8643,1.0711,1.3283,3.9142,3.9515,3.8236,2.3674,3.2312,3.1295,1.3283
TLL2,0.5271,0.3115,0.0718,0.0158,0.2821,0.4552,0.099,0.0718,0.2642,0.4656,0.3115,0.2998,1.1183,0.2642,0.6425,0.24,0.6235,0.1257,0.4962,1.1183
MFSD3,4.0842,2.901,2.609,3.7143,3.215,2.4492,2.7249,2.8219,4.0816,3.022,3.6927,2.1735,3.8269,3.808,2.0289,4.5454,4.0705,2.3898,2.945,3.8269
CTSA,5.4135,6.7767,6.6768,5.8366,5.8718,5.7493,5.8578,6.5705,7.25,6.1638,8.0801,5.1486,5.5705,7.0325,5.9409,7.4717,5.5264,6.0226,7.106,5.5705
IL32,5.4744,3.8925,7.9402,8.3327,5.9636,5.8515,5.2994,7.6253,8.009,6.7464,8.2254,4.1499,2.5634,6.6453,4.8748,7.2859,5.3709,5.496,8.9894,2.5634
PRAC2,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,2.3451,0.0014,0.0014,0.0014,0.0014,0.0014,4.4726,1.8604,0.0014,0.0014
NUCB2,6.4706,5.2718,5.7521,4.7695,6.6413,6.1872,6.215,5.6511,5.3597,5.5574,5.2146,5.4835,4.1756,5.257,6.1092,4.95,6.3699,5.497,5.4323,4.1756
SERPINB12,0.0014,0.0014,0.0014,0.0014,1.0186,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
B3GAT2,0.24,0.7102,0.1838,0.0718,0.0718,0.2029,0.2881,0.2029,0.0718,0.1321,0.1903,0.2998,2.9338,0.099,0.1257,0.092,0.1776,0.3115,0.3158,2.9338
SPATA2,3.2825,2.167,2.3437,1.4962,2.1798,2.3788,2.5313,2.3816,2.4359,2.3802,3.3134,2.0673,3.981,2.3365,2.3704,2.5187,2.7139,2.1798,2.3885,3.981
FGF23,0.0014,0.0014,0.0014,0.0718,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0158,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0158
SERTAD2,3.0774,3.0842,3.2599,2.1313,3.5966,3.0463,3.7259,3.2236,3.5899,2.9262,2.8721,2.4359,2.3048,2.9262,2.8857,2.6579,2.9683,3.7313,3.281,2.3048
OTUD1,3.6939,3.1311,4.4003,1.9526,2.8452,3.5705,3.2677,4.5905,2.9147,2.5934,2.9747,2.7572,2.909,3.7909,3.47,3.7762,2.7062,3.074,3.1033,2.909
ADGRG5,0.5955,0.0718,0.745,0.3056,0.4859,0.346,0.732,0.6425,2.2144,1.2696,1.2576,1.1316,0.2762,1.3773,0.2154,1.5506,0.4805,0.5069,0.9905,0.2762
ST3GAL6,1.9675,1.4439,2.991,4.0752,1.5057,2.0147,2.7422,3.1653,5.6271,1.5587,1.2516,1.683,2.7615,3.4668,2.1379,3.4089,1.9675,1.0915,2.5321,2.7615
GLI4,3.136,4.1457,2.5585,1.7489,2.3897,3.7624,2.83,2.5363,2.9839,3.0145,2.8076,2.6349,3.0602,2.3522,3.2481,2.9532,3.1277,2.77,2.8727,3.0602
PKP2,0.3685,3.8776,1.1049,2.7246,3.2341,2.2144,3.38,1.1183,0.7146,3.3887,5.5907,2.8361,1.5514,2.4117,1.7532,2.3273,3.1805,2.0147,2.4728,1.5514
HOOK1,3.1892,0.4125,1.9413,2.6647,2.8478,1.6875,2.8158,2.0395,1.7273,2.0631,3.2465,2.8014,2.167,3.5436,0.6239,3.3177,2.567,1.412,1.8872,2.167
MRM3,3.2647,2.971,2.828,3.1409,3.2914,3.3221,3.2312,2.874,3.4237,2.5621,3.2692,2.3898,3.1295,3.3661,3.5237,3.5236,3.3457,3.1377,3.046,3.1295
KRT1,0.03,1.1865,0.9786,0.03,3.9339,0.2522,0.2154,0.4761,0.1124,0.1666,0.7833,0.24,0.1519,0.058,0.6239,0.058,0.2274,0.4761,0.2319,0.1519
ASB8,4.0064,3.6805,3.6816,3.0542,3.7608,3.8896,4.2142,3.7593,3.7794,3.8958,4.0216,3.457,4.2773,4.3349,3.8749,4.2518,4.1277,3.6183,3.7384,4.2773
SLC45A4,3.002,1.9283,3.0029,0.3851,2.0307,2.4675,2.376,3.091,2.1345,2.9194,3.1262,2.6487,3.0181,3.672,2.0147,3.7143,2.676,2.2989,2.7424,3.0181
MTRF1,2.4492,2.8522,1.9804,1.7053,1.8957,2.118,2.296,1.9749,2.4225,1.8524,2.2694,1.9822,1.9602,2.6055,1.8484,2.5009,2.1718,2.0218,2.3881,1.9602
GAGE10,0.0014,0.2581,0.0014,0.0014,0.0014,0.0718,0.0014,0.0014,0.6332,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
ESM1,1.0915,0.3056,2.1421,0.1519,0.2029,0.8327,0.6239,2.1411,0.9192,0.1321,0.0718,0.1257,0.5955,3.2103,0.4552,2.6101,1.1801,0.1648,2.2878,0.5955
RWDD2A,2.0039,1.7953,1.5013,0.9605,0.8998,1.9602,1.5902,1.5465,1.105,1.1465,1.1183,1.1447,2.826,1.8604,1.4859,1.8221,3.0261,1.334,1.8521,2.826
SCFD2,2.5462,2.4076,2.3578,1.4859,2.9271,2.4117,2.9893,2.3107,3.2465,2.3913,2.4831,1.8723,2.8381,2.7487,2.2051,2.7899,2.4728,2.5561,2.4419,2.8381
PRR23A,0.0014,0.1124,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
TMEM155,0.03,0.058,0.2581,0.0014,0.044,0.0854,0.044,0.346,0.8407,0.1582,0.2154,0.044,4.7049,0.0158,0.03,0.0158,0.1257,0.099,0.2143,4.7049
TOMM40,4.4945,4.3148,4.44,3.871,5.0864,4.4855,4.1376,4.3834,5.04,4.4332,5.162,3.623,4.7093,4.3491,4.4403,4.655,4.5081,5.0444,4.257,4.7093
PRSS48,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.044,0.0014,0.058,0.0718,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0718
ADTRP,0.7493,0.1257,3.4223,0.3628,0.8883,0.1519,1.8801,3.2796,1.6512,4.8214,5.8721,2.9413,1.5709,2.8837,0.1257,2.2558,0.6466,1.3735,1.7911,1.5709
SEPSECS,2.1411,2.4279,1.6304,2.91,1.2177,1.8723,2.2019,1.7009,1.7446,1.6692,2.2268,1.5165,1.2637,2.7858,1.3846,2.6487,1.8544,1.3397,2.1668,1.2637
DCDC2C,0.058,0.0718,0.0014,0.0014,0.0014,0.0014,0.0158,0.0014,0.0014,0.0158,0.0014,0.0014,0.03,0.0014,0.03,0.0014,0.03,0.0014,0.008,0.03
CWC27,3.6428,3.6635,3.3264,2.0341,3.1344,3.9562,3.6382,3.335,3.8106,2.8708,3.2587,2.3981,3.2359,3.3876,4.1294,3.1505,3.6503,3.7507,3.4003,3.2359
MT1L,4.7209,2.6816,3.8451,5.4874,1.9674,2.1703,3.8003,3.6793,1.7359,2.9762,3.4543,2.7889,2.4279,3.847,3.0842,3.8441,4.6677,3.3506,3.3841,2.4279
PRAMEF26,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0158,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
MYOM2,2.3704,2.036,2.455,2.328,2.1988,2.4806,2.6184,2.4439,1.7185,1.3511,1.6604,1.0915,4.9557,3.5448,2.3981,3.831,2.4212,2.7227,2.0776,4.9557
MAP9,2.5707,1.6397,1.795,0.1519,0.4393,1.6374,2.118,1.8403,0.3685,1.2178,0.6239,2.0183,3.0654,2.7183,1.5563,2.4544,2.7992,0.9716,1.5144,3.0654
EVX1,0.0158,0.0158,0.0014,0.0014,0.0014,0.058,0.0158,0.0014,0.0014,0.0014,0.2277,0.0014,0.0014,0.03,0.044,0.044,1.8702,0.9419,0.0158,0.0014
APIP,4.4945,3.8223,4.4057,3.162,3.3112,4.2601,4.2773,4.5784,4.637,3.4843,4.1465,3.5994,3.4048,4.5571,4.6053,4.2464,4.4758,3.9672,3.8781,3.4048
FOXP1,3.7951,4.406,4.2075,2.5546,3.4444,3.6703,4.5608,4.3118,3.1588,4.4885,3.9318,4.5021,2.9636,3.3542,3.863,3.0978,4.5677,4.0028,3.9884,2.9636
MAF1,6.1747,6.4305,6.0543,4.5142,5.7631,6.6507,6.1039,6.0743,6.7421,5.8689,6.1071,5.093,5.4135,6.0461,6.9538,6.1409,6.4598,6.3962,6.1729,5.4135
NPHP3,3.2737,5.3311,2.573,1.0949,1.3734,3.3605,3.387,2.6302,2.4008,1.8634,1.8957,2.4359,2.1606,2.1114,3.0498,2.2404,2.5334,2.5437,2.6539,2.1606
OR5L2,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
PRAMEF4,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
PLCE1,2.3251,2.2872,2.5924,0.2642,0.8243,2.4359,1.8444,2.753,0.8726,2.183,3.8249,2.3135,1.7185,2.3063,2.5924,2.4127,1.2815,2.5683,1.6234,1.7185
RAD17,3.7794,3.3415,3.1844,2.3337,2.7508,3.4622,3.7635,3.2825,3.6463,2.9223,3.1012,2.8321,3.3046,3.7888,3.2885,3.6883,3.5199,3.0654,3.4357,3.3046
MITD1,4.2242,4.607,3.7609,2.7006,3.6119,4.5892,4.1318,3.8571,5.2297,3.208,3.8983,2.6232,2.9655,3.6549,4.2103,3.6995,3.7356,3.8789,4.4783,2.9655
ZMAT3,1.9034,1.5513,2.236,1.4361,1.8098,1.9149,2.7763,2.0535,2.8158,2.1476,1.7185,2.1147,3.3506,2.6865,1.9712,2.3134,2.1525,2.3788,2.3384,3.3506
SPCS2,7.5516,6.2301,6.7217,6.0737,6.1816,7.0973,6.7573,6.724,6.9502,6.7499,6.9375,6.2064,6.4586,6.8415,6.8094,6.5172,7.3899,6.505,6.652,6.4586
SETDB2,2.694,2.9441,2.175,1.1116,1.5163,2.2513,2.6806,2.1957,2.7314,1.7912,1.9822,1.9859,1.6187,2.5374,2.3019,2.2708,2.2358,1.9565,2.2292,1.6187
PAX3,0.0014,0.0014,0.0014,0.0014,0.0843,0.0014,0.2277,0.0014,4.061,0.0014,0.0014,0.0014,0.03,0.0014,0.03,0.0014,0.044,0.03,0.0014,0.03
DESI2,3.8954,3.1385,4.2254,1.8918,3.2281,3.9384,3.6972,4.4437,3.6759,2.9774,3.5608,3.3605,1.9967,3.2251,3.8531,2.8318,3.3428,3.2958,3.6553,1.9967
MT1A,2.4412,2.4438,3.8363,6.1834,2.3106,1.5165,2.7095,3.1781,0.5955,3.3363,3.4424,3.2404,1.5758,1.6987,1.9377,1.857,3.0215,2.694,1.7575,1.5758
COX17,5.8899,4.4909,5.5221,5.8254,5.1249,5.3607,5.2091,5.5982,6.1019,5.34,5.6988,4.6376,5.1571,5.641,5.5018,5.6014,5.9586,5.3793,5.5924,5.1571
NLGN2,1.8918,5.7035,2.2019,0.7706,1.6535,4.3406,3.1245,1.9675,2.2268,2.1396,1.692,1.8524,5.6883,2.0412,4.3053,2.285,3.0978,3.2374,3.1698,5.6883
HAO1,0.0014,0.0014,0.0014,7.4517,0.0014,0.0014,0.0014,0.0014,0.03,0.0014,0.0014,0.0158,0.0158,0.2066,0.0014,0.5064,0.03,0.0014,0.0303,0.0158
PKMYT1,0.537,0.4233,1.0642,0.5714,2.7205,1.1897,0.9642,1.0433,4.1875,2.2206,2.7594,0.6608,2.0147,0.3346,0.7407,0.4123,1.4573,1.2993,2.4288,2.0147
FAM89B,4.101,5.0068,4.9101,3.6708,4.8339,5.4983,4.5681,4.85,5.3509,5.1692,4.6765,4.136,4.6247,3.9873,5.6741,4.1768,5.1414,5.2195,5.5319,4.6247
MED8,4.5467,4.291,4.2913,3.9116,4.7811,4.1465,4.3176,4.2503,5.0782,4.0005,4.4175,3.2267,4.0781,3.9987,4.2825,4.0845,4.4206,4.1644,4.5476,4.0781
PHF1,6.4007,7.4564,5.3344,3.9146,4.1298,6.3512,5.5056,5.3733,6.1482,4.3714,4.4913,3.7323,5.3342,5.2107,6.8256,5.6137,6.0159,5.8189,5.5437,5.3342
FAM69A,2.6232,2.1046,2.048,2.8828,1.8734,2.8542,3.4477,2.0289,3.1162,2.9479,2.8818,1.9786,4.1764,2.1509,3.3032,1.9356,2.866,2.6918,2.9395,4.1764
ANKMY1,2.6395,3.2973,2.6567,1.3615,1.9389,2.7742,2.5437,2.6487,2.4117,2.1046,2.0639,1.8484,2.293,1.8918,2.233,2.0673,2.4518,2.2694,2.4691,2.293
PSMB6,6.7201,5.7304,6.55,6.443,7.0472,6.7429,6.3196,6.5463,7.105,6.1373,6.5546,5.1843,6.6701,6.7187,6.9338,6.9543,6.816,6.7523,6.8019,6.6701
CIB4,1.2271,0.0014,0.1648,0.0014,0.0014,0.058,0.0014,0.1776,0.0014,0.1362,0.044,0.03,0.1648,0.058,0.0014,0.044,0.407,0.058,0.0014,0.1648
GUCY1A3,2.1147,1.2021,3.6461,1.2753,0.9678,2.7487,4.2684,3.4582,1.3956,2.3437,2.3871,1.0573,3.2855,3.7345,2.8641,3.2511,4.3527,1.2875,2.9724,3.2855
PRKG2,0.3115,0.0718,1.787,0.0158,0.2821,0.2762,0.7664,1.9822,0.058,0.4445,1.7744,0.3907,1.0293,0.745,0.3346,0.6285,2.3266,0.3796,0.2702,1.0293
FBXO45,1.8444,1.751,2.0621,1.3254,2.9175,2.1894,2.4856,2.0604,2.2783,1.5854,2.4649,2.0254,3.4075,1.7849,2.0147,1.5215,2.3465,2.4035,2.1163,3.4075
AMZ2,5.7211,5.3205,5.0476,3.8842,4.8225,5.6761,5.6722,5.0892,5.8214,4.6645,4.597,4.0009,5.7727,5.5344,5.5835,5.471,5.5871,5.4273,5.1937,5.7727
TMEM52,0.7493,1.4678,0.8246,2.1638,1.8701,0.8164,1.0222,0.7748,0.7058,1.8895,1.8201,1.5315,1.2637,0.8403,0.9642,1.2176,1.1414,0.517,1.1834,1.2637
HLA-DRB1,6.075,4.199,9.6265,5.961,6.4634,6.9385,7.0779,9.7492,9.301,6.8754,7.1041,4.9001,5.0989,7.3983,7.792,7.2201,6.4585,6.7126,8.3385,5.0989
GCNT4,0.4447,0.6145,1.1641,0.5069,0.7058,1.0293,1.2815,1.1381,0.8648,2.5851,0.8961,1.3901,1.177,2.0147,1.0433,1.7807,0.9562,1.8524,1.4212,1.177
EFCAB1,0.058,3.4168,2.8584,0.2277,0.4268,3.2143,2.0218,2.753,0.044,0.2215,0.2762,0.1776,2.2901,0.2998,2.7379,0.2581,2.1293,1.1706,0.5069,2.2901
KLK8,0.099,0.1711,0.1711,0.0014,6.9064,2.3337,3.4183,0.1648,0.0014,0.0014,0.0014,0.1257,0.2522,0.092,0.6608,0.1648,0.0363,0.1257,0.1382,0.2522
MTF2,3.0809,3.5418,2.6624,1.2845,2.3981,2.9262,3.0978,2.7051,3.2782,2.1511,2.7183,2.2391,2.4008,2.4831,2.4117,2.3698,2.3062,2.4934,2.8378,2.4008
RBM15B,3.5887,3.4667,3.5976,2.0181,3.6588,3.907,3.863,3.637,3.4648,3.371,3.668,3.2796,3.0252,3.1179,3.6219,3.2541,3.559,3.7572,3.655,3.0252
NOBOX,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
ATP2A1,0.434,1.2209,0.1776,0.0854,3.1786,0.4125,0.3231,0.1776,0.3573,0.1582,0.2522,0.3231,0.4233,0.1388,0.2154,0.2702,0.6404,0.5666,0.3729,0.4233
CALHM1,0.0014,0.0718,0.03,0.0014,0.0158,0.0158,0.0158,0.03,0.0718,0.0158,0.044,0.0158,1.4174,0.0014,0.044,0.0014,0.0158,0.0158,0.0661,1.4174
ZNF880,3.5086,3.5411,2.7519,0.7789,2.1163,3.1179,3.3119,2.6579,3.8541,2.1436,2.2513,1.8564,2.2872,3.1907,3.086,3.0402,3.8997,3.1491,3.3654,2.2872
NCAPG,0.2277,0.1776,0.5018,0.1519,2.1734,0.3573,0.7146,0.4967,3.309,1.2147,1.9859,0.6239,0.1257,0.2821,0.1648,0.1776,0.3288,0.7407,1.0676,0.1257
CLPSL2,0.1257,0.0014,0.0014,0.0014,0.0014,0.0014,0.2998,0.0014,0.1648,0.0014,0.0014,0.0014,0.2998,0.0014,0.0014,0.0014,0.0014,0.0014,0.2296,0.2998
MELTF,1.9339,1.9786,1.0186,0.5469,1.2332,1.8363,2.9469,0.9716,3.9051,1.0327,2.3048,0.7833,2.2144,1.9917,2.3048,1.5385,1.8524,1.2333,3.6757,2.2144
PTPRB,2.5087,1.8484,4.5847,1.6785,0.9064,2.4883,3.567,4.5784,0.8568,1.7824,2.7073,2.3164,2.0912,4.1826,3.3163,3.846,2.062,1.7744,2.5856,2.0912
TMCO1,6.5325,5.0286,5.8582,5.5412,5.9439,5.7054,6.1681,5.8375,6.4804,5.8249,7.0675,4.8939,5.0549,6.4367,5.8622,6.3448,6.4496,5.8562,5.9195,5.0549
RAB5C,6.8152,6.0341,6.8173,5.3071,6.0518,6.2591,6.383,6.785,6.7011,6.6732,6.9333,5.5841,6.4877,6.9802,6.4678,7.1632,6.4914,6.2468,6.754,6.4877
NPBWR2,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0718,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0718
UPP1,3.3925,2.7422,5.0762,3.0842,5.692,3.3534,2.8994,5.0041,4.7038,3.0046,4.8064,2.5313,3.492,3.7946,3.6474,4.1952,2.7559,3.9865,4.8385,3.492
CEBPE,0.044,0.03,0.2522,0.0158,0.0158,0.0158,0.03,0.2029,0.2998,0.058,0.2277,0.0158,0.0854,0.03,0.03,0.0363,0.03,0.03,0.4339,0.0854
TRABD2B,0.3115,0.522,0.5712,1.1512,0.3172,0.5859,1.8643,0.5271,0.044,0.6735,0.537,0.5271,0.0854,2.7377,1.0079,3.2587,0.8159,1.1641,1.9547,0.0854
KLK10,0.5763,4.0705,3.9283,0.2762,8.0074,3.5186,3.2944,4.1465,0.058,1.0116,0.9268,0.8568,0.5955,0.1965,3.0978,0.1055,3.1118,0.4967,0.8471,0.5955
KDM5B,3.3378,3.8335,3.2609,1.4623,3.794,3.6451,4.0269,3.2465,3.335,2.8704,3.449,3.2737,3.4183,3.1963,3.2526,2.9336,3.6877,3.8571,3.7941,3.4183
STPG1,2.8199,2.2543,2.6395,0.6378,2.2283,2.4701,2.5288,2.6873,2.7572,2.1313,3.0689,1.6327,3.2692,2.8024,2.3251,2.7379,2.7795,2.3732,2.2654,3.2692
PTPRH,0.0854,0.4552,0.1519,2.6971,0.3516,0.6517,0.4865,0.1519,1.4335,3.254,5.5354,2.8321,1.1316,0.1188,1.0983,0.1124,0.1124,0.8805,3.6836,1.1316
PCMTD1,5.2612,5.1489,4.5385,2.9413,3.8237,4.7934,5.2223,4.6566,3.7814,4.3038,3.9393,4.2884,3.4984,5.1394,4.4562,4.7921,4.9255,4.5274,4.5414,3.4984
OR14A16,0.03,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
GLRA3,0.0014,0.0014,0.0158,0.0014,0.0014,0.03,0.6969,0.0158,0.03,0.0158,0.0158,0.0158,2.0395,0.0158,0.03,0.0158,0.0014,0.0158,0.0398,2.0395
FRMD8,3.1907,3.417,3.4875,1.9949,3.9317,3.4791,3.5199,3.4048,4.6165,3.122,3.7039,2.7139,2.561,2.9865,3.3591,3.2103,3.2457,3.603,4.3412,2.561
HELZ2,2.9965,2.4142,3.5449,2.3575,3.1977,2.7073,3.0842,3.5473,3.5522,3.5762,3.1262,3.5386,1.595,2.4359,2.409,2.4451,2.7444,3.3393,3.5105,1.595
FAM188B,2.7379,3.1978,2.7496,0.7916,1.2362,2.6783,2.3019,2.7679,1.4011,1.1446,1.2696,0.8407,1.6187,2.4465,2.4144,2.4082,2.4714,2.0075,2.0128,1.6187
MAP2K7,3.6113,4.5884,3.4318,2.7172,3.3478,4.1178,3.6113,3.5399,3.4224,3.4609,3.6872,3.0358,3.5572,3.332,4.1843,3.6753,3.6989,3.6939,3.6261,3.5572
GRIP1,1.949,0.8205,0.4447,0.0718,1.5806,1.0503,1.46,0.4657,0.4552,0.7914,0.9494,0.7833,1.692,1.6093,0.2998,1.5727,1.7316,1.4011,0.9636,1.692
SLC2A1,4.178,3.8162,3.247,1.2271,7.1892,4.9561,4.607,2.9243,4.975,4.7743,5.4503,3.5086,5.7126,5.1524,4.3435,5.0371,5.1618,6.9975,4.6268,5.7126
C6orf229,0.058,0.0014,0.5069,0.0014,0.0014,0.0014,0.0014,0.6699,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
WNT1,0.0158,0.0014,0.0158,0.0014,0.0014,0.0014,0.0158,0.0014,0.0014,0.058,0.03,0.0158,0.3346,0.0014,0.0014,0.0014,0.0158,0.0014,0.03,0.3346
SNRPD2,7.5253,7.8828,7.1811,6.2501,7.5161,8.3177,7.4326,7.0919,8.4829,6.6542,7.3655,5.5976,6.8381,7.0408,8.6865,7.0791,7.7803,7.9051,7.6281,6.8381
MUSK,0.058,0.0854,0.5469,0.044,0.044,0.0158,0.03,0.4016,0.2277,0.522,0.5666,0.4865,0.1519,0.0158,0.0014,0.0218,0.0158,0.2998,0.044,0.1519
PTPN4,3.6242,2.2989,2.9838,1.751,2.4714,2.1767,3.309,2.8239,2.7721,2.2798,2.2573,2.4171,3.4648,3.3017,1.8524,3.1762,2.6231,2.2452,2.5937,3.4648
CDY1,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
LZIC,3.9829,3.7486,3.7099,2.9003,3.7149,3.9765,4.2571,3.7335,4.3162,3.6911,4.3206,3.3206,3.7237,4.2669,3.8828,3.9664,4.2161,3.929,3.784,3.7237
SPATA31D1,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
MASP2,0.5666,1.6323,0.5714,7.533,0.1648,0.4865,0.8648,0.5859,0.2277,0.3891,0.4447,0.8327,0.9494,0.2998,0.346,0.4016,0.3344,0.2762,0.3685,0.9494
RPRM,0.9568,3.0843,0.3113,0.0014,0.7578,3.603,0.1388,0.3573,0.03,1.1693,0.5763,1.9226,3.567,0.949,4.4817,0.9454,2.3121,1.7446,0.1324,3.567
