sample,THCA,OV,LUSC,LIHC,HNSC,UCEC,BRCA,LUAD,SKCM,STAD,CRC,ESCA,GBM,KIRC,CESC,KIRP,PRAD,BLCA,PAAD,LGG
SLCO6A1,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
PPIB,9.205,8.2246,8.254,8.3479,8.145,9.0,7.9781,8.1286,8.9,7.6844,8.2672,6.4917,6.7884,7.9691,8.7622,8.0367,8.9217,8.0936,9.0724,6.7884
SLC9A4,0.03,0.0014,0.0014,0.0014,0.6787,0.044,0.0158,0.0014,0.044,1.7169,0.1124,4.427,0.0718,4.1213,0.03,4.2408,0.0718,0.6332,0.0645,0.0718
MSH3,2.685,1.8995,2.0825,1.6715,2.183,2.128,2.8701,2.1444,2.7205,2.0774,2.3048,1.8995,1.9675,3.0056,1.6964,2.8661,2.5487,2.2753,1.9233,1.9675
LSM11,0.9038,1.6257,0.8326,0.3516,0.7058,1.6558,1.2576,0.8407,1.1833,0.6834,1.2516,0.9789,2.3649,1.0573,1.8524,0.8844,1.6466,1.3109,1.3418,2.3649
SWAP70,4.2699,3.0029,4.5512,1.6302,3.5098,3.6417,4.8571,4.5584,5.0131,3.1261,3.3378,3.0961,2.9205,4.2196,3.7991,3.7835,3.5724,4.1003,4.2979,2.9205
ANKZF1,3.7539,6.2445,3.2041,2.3178,2.9673,4.026,3.8798,3.3032,4.0918,2.9576,3.3148,3.2143,3.6669,2.9965,3.4224,3.3112,3.5724,3.4304,4.2092,3.6669
TRMT12,3.0323,2.0621,2.457,1.6374,2.2098,2.7951,3.0723,2.5036,4.0445,1.8523,2.4675,1.5902,2.6232,2.8401,2.7721,2.8086,2.8877,2.6349,2.5238,2.6232
PPM1D,2.5437,3.2072,2.9023,1.4093,2.0993,2.8137,2.9281,2.9506,2.3536,2.2943,2.5804,1.7995,1.8723,2.584,2.6325,2.3564,2.2634,2.1541,2.2113,1.8723
MPG,5.5311,5.1969,4.9913,4.8068,4.7148,5.5771,4.6485,4.991,6.0339,4.7837,4.847,3.5608,4.6427,4.0997,5.5708,4.6012,5.7139,5.3572,5.3896,4.6427
TSPAN11,1.4388,0.5567,1.793,0.24,1.0396,1.4282,1.5758,1.9859,0.9419,2.0332,2.2694,0.8726,1.6604,0.679,1.1706,0.6563,1.3984,1.8801,1.8312,1.6604
STK32C,2.6602,2.6417,2.9989,1.6139,2.0412,3.0671,2.6091,3.0585,3.0038,1.9015,2.4623,1.1897,5.7409,2.8452,3.1539,3.0851,2.8106,2.6349,3.2059,5.7409
TMEM54,5.4026,4.0309,5.3155,2.303,6.4504,4.891,4.6657,5.3377,4.3068,6.729,8.9459,4.4738,4.6212,4.6371,5.6645,4.6259,6.0393,6.011,5.8361,4.6212
NINJ2,1.3567,0.6332,5.2851,2.4438,1.826,2.0003,2.8681,5.433,3.3675,2.118,2.4332,1.3397,3.387,0.8957,2.7763,0.7787,1.7446,1.8957,3.5008,3.387
TEFM,2.9784,2.8452,2.4008,1.7681,2.5313,2.6114,2.8935,2.4171,2.9299,2.1247,2.9071,1.7185,2.0183,2.959,2.4985,2.8562,2.659,2.1214,2.521,2.0183
PIP4K2A,2.9167,2.6337,3.9565,2.1813,2.3464,3.7804,3.4958,3.7794,4.543,3.2728,3.0498,2.5437,5.4293,3.389,3.222,3.1211,2.6996,3.6018,3.9665,5.4293
LAD1,2.1767,0.24,3.9811,3.1426,7.6173,3.1344,3.8421,3.9204,3.3786,5.7335,6.7122,3.833,0.0158,5.0259,0.8164,5.1069,4.197,6.0854,6.0046,0.0158
URAD,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.03,0.0014,0.03,0.03,4.0514,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
LRRC59,5.0587,3.9797,5.2296,4.4644,5.5225,4.7154,4.9593,5.1514,5.7036,5.389,6.1273,4.7518,4.3378,4.6919,4.6888,4.6585,5.5346,5.1478,5.4469,4.3378
SLC39A7,6.738,5.2597,5.9622,5.2443,5.5481,6.05,5.7929,5.9165,6.6864,4.9748,6.4517,4.2556,5.1815,5.9162,6.2182,6.0475,7.1108,5.5994,6.5028,5.1815
TMEM132B,1.2993,0.1838,0.099,0.0158,0.522,0.346,0.1519,0.0718,0.0158,0.4635,0.24,0.24,3.7346,0.1055,0.1124,0.0718,0.2821,0.1776,0.181,3.7346
NUP205,3.5225,4.3162,3.5436,2.2528,3.7794,4.1053,3.9213,3.6125,4.4822,3.0774,3.5225,3.3675,2.7358,3.4437,4.1269,3.2281,3.7116,3.8886,3.8425,2.7358
TRIM49D1,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
