,BLCACcorr,BLCACgene,BLCAScorr,BLCASgene,BRCACcorr,BRCACgene,BRCAScorr,BRCASgene,CRCCcorr,CRCCgene,CRCScorr,CRCSgene,CESCCcorr,CESCCgene,CESCScorr,CESCSgene,ESCACcorr,ESCACgene,ESCAScorr,ESCASgene,GBMCcorr,GBMCgene,GBMScorr,GBMSgene,HNSCCcorr,HNSCCgene,HNSCScorr,HNSCSgene,KIRCCcorr,KIRCCgene,KIRCScorr,KIRCSgene,KIRPCcorr,KIRPCgene,KIRPScorr,KIRPSgene,LGGCcorr,LGGCgene,LGGScorr,LGGSgene,LIHCCcorr,LIHCCgene,LIHCScorr,LIHCSgene,LUADCcorr,LUADCgene,LUADScorr,LUADSgene,LUSCCcorr,LUSCCgene,LUSCScorr,LUSCSgene,OVCcorr,OVCgene,OVScorr,OVSgene,PAADCcorr,PAADCgene,PAADScorr,PAADSgene,PRADCcorr,PRADCgene,PRADScorr,PRADSgene,SKCMCcorr,SKCMCgene,SKCMScorr,SKCMSgene,STADCcorr,STADCgene,STADScorr,STADSgene,THCACcorr,THCACgene,THCAScorr,THCASgene,UCECCcorr,UCECCgene,UCECScorr,UCECSgene
13,0.40060504081,ARL6IP1,-0.0983476214079,C1QC,0.539513959842,CYC1,0.119044650713,UBD,0.286472280209,EPCAM,0.043404359992,SPP1,0.368985206322,ANAPC11,0.116812951725,IDO1,0.329415857514,GPI,-0.00709345786037,MMP9,0.249597347263,PRRC2A,-0.121849273104,CCL2,0.454294298359,ATP1B3,-0.0280583825531,TMEM176B,0.314371825043,TUBB4B,0.00926696055006,THBS2,0.302696765569,APP,-0.0662477836574,FCGR2B,0.615140890944,SNRPE,0.0421378359125,MOBP,0.27408095655,TST,0.0468555870046,EFEMP1,0.203491413279,ATP5G1,0.0239827172659,SFTPA2,0.571047842279,UBA2,-0.114216499311,CCL18,0.249081294085,RPS27A,0.0791177945058,COL1A1,0.292517333997,RHBDD2,-0.0530710254651,SFRP2,0.00237073677073,HIST1H2BK,-0.0340709307913,HSPB8,0.32737448572,TRIM28,0.0893392125218,UBD,0.37166423481,PCNA,-0.0519973719347,MYLK,0.0636844908015,SMIM4,0.00277552778801,C3,0.281903086857,CHD4,0.0100759519378,CD52
14,0.32356995706,NT5DC2,-0.00445201456514,CXCL10,0.147722207898,DHCR24,-0.0257531461112,DPT,0.551715617949,DYNLRB1,-0.0266565898629,APOE,0.320173280405,RPL35A,0.0765519015227,C1QB,0.0729529534929,ANXA4,0.00340233306556,CD37,0.508978375803,MARS,-0.0543368148641,LYZ,0.159098245289,RPL36A,0.0831880675969,SERPING1,0.0177928643449,NDUFA13,0.00821706523424,COL1A1,0.226268795417,AGRN,-0.00447307950526,CTSS,0.318991773317,EIF3E,-0.0223583362473,ERMN,0.414212189049,C4BPB,0.0332863090449,COL1A2,0.333540581451,HDGF,0.200620072854,TPSAB1,0.168467034585,PTDSS1,-0.00868461746028,SFTPC,0.454934365359,EEF1D,0.0759117232677,CXCL9,0.107456622392,CDK10,0.00978702556936,REG1B,0.340117048965,ATP6V0E2,0.0301781076881,PAGE4,0.293712071705,H2AFZ,0.00574115754415,CCL5,0.496757683711,HSP90AB1,-0.0642396495105,FHL1,0.305702546728,AHCY,0.0192404473047,CD52,-0.0478324122592,PGK1,-0.0823549087505,PTPRCAP
15,0.368262526454,STAP2,-0.035469734639,ISLR,0.369570350043,PCNA,-0.0645229474609,CD48,0.224285283763,RPL13,-0.00430421440269,DCN,0.412988442021,CALM2,0.0735877365969,C1QA,0.374556648179,PEBP1,-0.0792090430457,CCL18,0.143242577354,MAD2L2,0.086510463067,VSIG4,0.376319277061,CACYBP,0.0791968115092,CTSS,-0.00817480228029,ATP5G3,0.0385416102026,CCL5,0.373293046252,TNFRSF12A,0.0155935405208,UBD,0.155187433202,EIF4B,0.0831982727868,LPAR1,0.232109379932,MST1,0.01661738335,CCL19,0.4032120901,KRTCAP2,0.195418319491,TPSB2,0.23865186561,DDR1,0.162614073111,SFRP2,0.45092434149,HSPD1,0.0708649070886,POSTN,0.0454232615271,EBP,0.0331568007359,INS,0.140868050931,SREBF1,-0.123925978255,MYLK,0.466430861288,CUTA,0.0438276811984,CD52,0.364202974767,ATIC,-0.124812893727,SFRP4,0.164472838329,NDUFC2,0.0599283546285,TACSTD2,0.458682274853,H3F3A,-0.148297577704,C1QB
16,0.309508768066,ACADVL,-0.012786417287,CCDC80,0.395080323374,RBBP4,0.0215339835444,CCL14,0.210185081348,PQBP1,-0.0591223797422,MZB1,0.237652555837,H2AFV,0.0533456911981,LYZ,0.538179025023,ZNF706,0.0113003730515,CCL5,-0.00674045704033,NONO,0.114374028906,CHI3L2,0.294212042338,MRPL51,0.0543553451349,CD52,0.153243505787,ATP6V0C,0.350580659369,C1R,0.477516001141,TRAP1,-0.0274373687519,C1QA,-0.012307076528,RPS4X,0.0874336995961,SPP1,0.0716790744989,PXMP2,0.165577462594,NNMT,0.344061593853,PPP1R14B,0.122639249305,LYZ,0.411324795368,PRDX2,0.0507662239217,CD37,0.382930963249,PABPN1,0.0707029252563,COL3A1,0.112872954316,ECI1,0.176919105779,IGLL5,0.135347442611,HMG20B,-0.0270330926831,PTGDS,0.341219737351,RPL37A,-0.0355450088479,CD27,0.157846643141,STMN1,-0.0587265997415,TAGLN,0.255151770674,HEBP1,-0.0582127555182,NNMT,0.399020270221,DBN1,0.0775926340515,GNLY
17,0.149512595386,S100A6,0.105809275559,FN1,0.362164254158,MRPL24,-0.0470930547663,KRT5,0.561598912117,PABPC1,-0.00204248592446,S100A8,0.490759514287,HSPE1,-0.0816800498576,SFRP4,0.481441269043,SPINT2,0.0289899250508,C1QB,0.112148792643,TUBB2A,0.0505770002893,LUM,0.413088785782,RPL37,0.0204593499785,KRT6C,0.124332254226,TSPAN1,0.0966132224094,IL2RG,0.602619197466,HSBP1,0.049942509482,CD52,0.13058908945,RPL18A,-0.129086499781,FABP5,0.306448047778,TSTD1,0.0723713001266,MMP2,0.325279782436,ERP29,-0.0387906957906,CCL18,0.417237183358,ATP5G1,-0.00120143952484,NAPSA,0.498079625567,UBL5,0.0608892296285,COMP,0.251008947178,ROMO1,0.0401192450994,CCL19,0.191953239997,POLD2,0.0456457678524,CYP27A1,0.439243126844,ANXA5,-0.100612384993,LYZ,0.332574916958,F11R,0.117442242942,MFAP4,0.12182933644,PDIA4,0.0261964764532,DCSTAMP,0.39962377163,MGST3,-0.163603907296,C1QA
18,0.271994735323,PRDX2,-0.00320214197965,SULF1,0.464889355891,CCT2,-0.0187422024508,LYZ,0.591847593742,ENTPD6,-0.0483862001163,FBLN2,0.208339777906,DPM3,0.028378203295,CCL5,0.335006971185,PHB,0.0660080550323,CD53,0.332260665521,HNRNPUL1,-0.0484093274181,TREM1,0.219597825444,H2AFZ,-0.0290732294081,UBD,0.29511166951,BDH2,0.0420361552952,CFH,0.251732437381,TGIF1,-0.0133786817796,C1QC,-0.0600843406655,RBMX,0.206919623964,CHI3L2,0.498974856463,SERPINF2,0.0468284701828,EMILIN1,0.518226555752,POLR2H,0.0493798034003,UBD,0.514031107134,KPNA2,-0.0444634564725,ALOX5AP,0.304778494857,DMKN,0.0822250790846,SERPINF1,0.306418396898,MYH14,0.131137573168,CCDC80,-0.0370930265265,RPL36A,0.0916178873519,MMP7,0.514198116569,POLR1D,0.022552386021,GBP5,0.347715548683,RPS21,0.000747288989382,MGP,0.129799161289,COX8A,-0.0649569364087,SERPINF1,0.273387298704,GGCT,0.0670688646913,ITGB2
19,0.496914271369,WDR6,-0.0865322059168,DCN,0.191007419578,RBBP7,-0.207349122698,COL14A1,0.0531015499638,COX7B,0.0539591438549,MMP2,0.465396917554,DEK,0.113111873885,NKG7,0.549198377999,HSP90AB1,0.0708553031836,SRGN,0.367065694881,DHPS,-0.0306360070417,MS4A4A,0.344003106637,NDUFB9,0.192605632165,GBP1,0.322161904898,CNPPD1,-0.0351033122748,POSTN,0.464433723161,C12orf75,-0.0511115403893,CD48,0.0918459120605,GABBR1,0.136680489032,CBR1,0.231543691857,ITIH2,0.0714358059677,MGP,0.17902370782,NME4,-0.0385218030609,MZB1,0.405023703171,RANBP1,0.0729707036385,IL2RG,0.385335279714,RPL14,0.115326757474,COL5A1,0.258970421921,CPSF1,0.225355644885,CD53,0.0773617148964,MESP1,0.0482672009627,SYNM,0.552144208328,PHB,0.045411450602,CD2,0.36611062517,PPDPF,0.0499491645084,CD37,0.119608851265,LDHB,0.0348972508512,ALOX5,0.401253473645,TRA2B,-0.0193864648154,MS4A6A
20,0.333034375914,SLC39A4,-0.0691361692939,AEBP1,0.146348824134,GSTM3,-0.00763238765698,KRT14,0.431099868481,GGCT,0.0401500882815,CXCL9,0.431152619046,PPP1CB,0.0785524197937,C1QC,0.532452076867,PABPC1,0.0603977808624,C4B,0.422008922138,NOP56,0.0927364959671,PLA2G2A,0.439278847863,GSTP1,-0.121806633482,SPRR2G,-0.0326110687325,HPN,0.119041255522,CD163,0.0600562550893,PDZK1,0.0301256576661,NPL,0.191654611583,EEF1A1,0.0730837594824,TMEM144,-0.0584243998084,METTL7A,0.06869044893,CXCL12,0.502888817785,ENSA,-0.0836534004059,IGLL5,0.0589169320631,SLC3A2,0.155444139521,SLC34A2,0.342677914163,RPL15,0.0525630164151,CTSK,0.359745718953,NDUFA7,-0.050609409073,CXCL12,0.120283696905,STRA13,-0.0154961758099,FLNC,0.377799364006,LDHB,-0.0303428369087,CD8A,0.317275765482,SLC25A39,0.0858300130583,PDLIM3,0.273441317571,TMEM147,-0.0691020944847,C1S,0.0751034119372,MATR3,-0.0483563032543,IL32
21,0.273292191104,CD46,0.0791348905243,C1S,0.228127753644,XBP1,0.132490395848,C1S,0.459702719347,HSPH1,-0.122380805947,POSTN,0.263726601595,COX5B,-0.0720403901847,CD3E,0.550645229683,OLA1,0.176454204622,NNMT,0.238350139282,SNRNP70,-0.0660857842914,RNASE2,0.232375628742,ATP5G1,0.120565855389,ITGB2,0.161476908862,NDUFAB1,0.00797452650031,GZMA,0.258651199259,SF3B1,-0.011961541881,TYROBP,0.0976358057121,RUNDC3A,0.0651490841973,CNTN2,0.239858520922,CEBPA,0.0174615424644,SAA2,0.42485704647,TMED3,0.121073518396,CD52,0.572741608637,ALYREF,0.0975157499609,CD52,0.318092904208,SMIM22,0.000228787631242,MMP9,0.148027972765,ARRDC1,-0.0350624328249,CD37,0.111476117951,MRPL12,0.0247880408378,CNN1,0.518849404831,NHP2,0.0520061732279,FDCSP,0.471146481938,ERGIC3,0.0913682342383,CD52,0.169141762512,CLIC3,0.0550778308264,LCP1,0.30852921142,ARL6IP1,-0.0269488838639,AIF1
22,0.107624367585,SH3GLB2,-0.0460756236482,MMP9,0.546321706614,COA3,0.0658154335563,S100A9,0.50406033917,SLC52A2,0.119639217268,PLA2G2A,0.281436139909,HMGN3,-0.0183213625771,CD3D,0.321764408813,SLC9A3R1,0.0436358065376,CXCL10,0.275791811642,CERS1,0.21387891151,FCGR2B,0.547084500745,ATP5G3,0.0207252401643,SFRP2,0.264664043691,ATP5H,-0.051238217051,C1QB,0.129238719851,PTOV1,0.0344598071656,MS4A6A,0.29986922393,NUMA1,-0.0267971842034,ENPP2,0.516043795591,ASGR1,-0.0699146857877,GGT5,0.577975667125,PUF60,0.110182905792,MFAP4,0.495186609207,TK1,0.196237957086,CD74,0.398063035988,ATPIF1,0.0255105306202,CXCL14,0.124830598751,CAMK2N1,-0.0799809073656,CPA2,0.341122499973,ATP6V1G1,0.0513458176689,NEFH,0.0788149533806,HSPA1B,-0.0230278470866,CD7,0.509595241976,PSMD3,0.0354513507195,C1R,0.00243222458959,TMEM14B,-0.095535743325,KCNN4,0.449625119037,ENSA,-0.0197416723344,LST1
