sample,BLCA,BRCA,CESC,CRC,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PRAD,SKCM,STAD,THCA,UCEC
RAB4B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TIGAR,0.98,0.99,1.0,0.99,1.0,1.0,1.0,0.99,0.98,1.0,0.79,1.0,1.0,0.98,0.98,0.95,1.0,1.0,0.97,0.98
RNF44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DNAH3,0.19,0.06,0.08,0.42,0.36,0.01,0.12,0.01,0.08,0.01,0.0,0.45,0.26,0.38,0.22,0.01,0.01,0.25,0.0,0.35
RPL23A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARL8B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CALB2,0.39,0.77,0.46,0.45,0.42,0.57,0.76,0.08,0.24,0.7,0.04,0.3,0.61,0.65,0.85,0.02,0.16,0.29,0.14,0.53
DACH1,0.06,0.72,0.25,0.9,0.34,0.24,0.05,0.41,0.12,0.55,0.01,0.17,0.33,0.65,0.42,0.93,0.03,0.43,0.0,0.7
FMO2,0.11,0.7,0.14,0.09,0.59,0.13,0.44,0.87,0.59,0.36,0.13,0.93,0.88,0.32,0.75,0.52,0.25,0.57,0.25,0.15
ZNF708,0.8,0.95,0.48,0.92,0.77,1.0,0.35,0.9,0.68,1.0,0.18,0.9,0.74,0.85,0.9,0.98,0.71,0.92,0.95,0.85
MYADML2,0.0,0.0,0.01,0.4,0.04,0.02,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.08,0.0,0.01
PHEX,0.08,0.23,0.12,0.02,0.08,0.56,0.06,0.07,0.05,0.21,0.02,0.08,0.2,0.03,0.0,0.0,0.07,0.0,0.52,0.1
MOGAT2,0.32,0.47,0.21,0.81,0.3,0.0,0.05,0.0,0.02,0.0,0.74,0.02,0.04,0.08,0.39,0.72,0.0,0.61,0.01,0.06
PFN2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RMND5A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RAD23A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TUBB4A,0.1,0.13,0.06,0.03,0.2,0.99,0.16,0.59,0.91,1.0,0.39,0.32,0.43,0.78,0.25,0.34,0.93,0.17,0.01,0.46
OR2D2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERPINB11,0.1,0.0,0.27,0.0,0.27,0.0,0.36,0.0,0.0,0.0,0.0,0.05,0.39,0.0,0.0,0.56,0.0,0.02,0.01,0.01
COX10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GJA4,0.95,0.99,0.76,0.95,0.92,0.99,0.9,1.0,0.94,0.93,0.99,0.99,0.95,1.0,1.0,0.97,0.99,0.99,1.0,0.98
TLL2,0.13,0.03,0.21,0.04,0.09,0.06,0.11,0.02,0.27,0.16,0.01,0.06,0.15,0.02,0.22,0.34,0.02,0.19,0.08,0.24
MFSD3,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTSA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IL32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRAC2,0.26,0.2,0.28,0.64,0.25,0.25,0.09,0.04,0.03,0.02,0.05,0.14,0.21,0.07,0.11,1.0,0.28,0.33,0.0,0.46
NUCB2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SERPINB12,0.04,0.0,0.21,0.0,0.12,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.05,0.01,0.0,0.01
B3GAT2,0.01,0.01,0.0,0.01,0.01,0.82,0.0,0.01,0.0,0.97,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.03
SPATA2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FGF23,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.01
SERTAD2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99
OTUD1,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.96
ADGRG5,0.16,0.18,0.66,0.74,0.6,0.1,0.26,0.49,0.31,0.05,0.25,0.5,0.33,0.15,0.57,0.04,0.29,0.87,0.28,0.29
ST3GAL6,0.53,0.97,0.88,0.41,0.74,1.0,0.85,0.99,0.92,1.0,0.97,0.97,0.93,0.98,0.94,0.92,1.0,0.86,0.93,0.9
GLI4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PKP2,0.94,0.97,0.88,1.0,0.99,0.13,0.95,0.96,0.92,0.16,0.95,0.71,0.96,1.0,0.97,1.0,0.09,1.0,0.54,0.99
HOOK1,0.91,0.99,0.99,1.0,0.98,0.04,0.94,0.98,1.0,0.14,0.98,0.99,0.99,1.0,0.99,1.0,0.43,0.97,1.0,0.97
MRM3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRT1,0.29,0.08,0.42,0.03,0.41,0.0,0.82,0.02,0.05,0.01,0.02,0.06,0.39,0.0,0.06,0.02,0.16,0.04,0.0,0.02
ASB8,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC45A4,0.94,0.99,0.98,1.0,0.99,0.91,0.97,1.0,0.99,0.97,0.43,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MTRF1,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.97,1.0,1.0,0.99,1.0,0.99,0.94,1.0,1.0,0.99
GAGE10,0.07,0.01,0.03,0.0,0.01,0.0,0.06,0.0,0.02,0.0,0.08,0.04,0.11,0.01,0.0,0.0,0.14,0.01,0.0,0.06
ESM1,0.86,0.94,0.74,0.93,0.75,0.84,0.82,1.0,0.8,0.14,0.78,0.92,0.94,0.91,0.93,0.36,0.65,0.81,0.93,0.95
RWDD2A,0.7,0.95,0.55,0.96,0.57,1.0,0.37,0.98,0.98,1.0,0.77,0.95,0.83,0.96,0.93,1.0,0.71,0.86,0.99,0.98
SCFD2,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
PRR23A,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM155,0.02,0.01,0.02,0.0,0.06,0.31,0.02,0.29,0.02,0.47,0.02,0.07,0.07,0.04,0.0,0.0,0.07,0.0,0.02,0.03
TOMM40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRSS48,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
ADTRP,0.57,0.41,0.46,0.72,0.77,0.03,0.85,0.48,0.2,0.06,0.2,0.7,0.75,0.44,0.87,0.31,0.3,0.74,0.7,0.15
SEPSECS,0.9,0.96,0.91,1.0,0.96,1.0,0.83,0.99,1.0,0.99,0.99,0.99,0.94,0.81,0.99,0.99,0.83,0.98,0.98,0.92
DCDC2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWC27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
MT1L,0.74,0.86,0.81,0.8,0.67,0.99,0.9,0.98,0.82,0.98,0.85,0.95,0.91,0.9,0.99,0.97,0.69,0.79,1.0,0.9
PRAMEF26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYOM2,0.39,0.48,0.5,0.73,0.36,0.99,0.72,0.99,0.98,0.99,0.43,0.59,0.77,0.22,0.9,0.92,0.66,0.46,0.92,0.57
MAP9,0.45,0.86,0.18,0.19,0.58,0.99,0.23,0.76,0.91,0.99,0.04,0.91,0.82,0.87,0.85,0.99,0.5,0.57,0.99,0.88
EVX1,0.45,0.01,0.05,0.52,0.09,0.01,0.0,0.01,0.01,0.01,0.04,0.02,0.01,0.0,0.08,0.7,0.01,0.13,0.0,0.02
APIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FOXP1,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.99
MAF1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NPHP3,0.99,0.99,0.98,0.98,0.99,1.0,0.95,1.0,0.96,0.98,0.84,1.0,1.0,0.97,0.98,0.99,0.94,0.97,1.0,0.95
OR5L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRAMEF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
PLCE1,0.73,0.53,0.63,0.95,0.72,1.0,0.29,0.87,0.68,0.94,0.27,0.73,0.6,0.74,0.94,0.42,0.29,0.92,0.96,0.72
RAD17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MITD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZMAT3,0.95,0.98,0.96,0.98,1.0,1.0,0.94,1.0,1.0,1.0,0.91,1.0,1.0,0.94,0.99,0.96,1.0,1.0,1.0,0.86
SPCS2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SETDB2,0.91,0.99,0.93,0.99,0.99,0.93,0.87,0.99,0.99,0.97,0.81,0.98,0.99,0.92,0.99,0.99,0.99,1.0,1.0,0.94
PAX3,0.06,0.02,0.02,0.01,0.09,0.32,0.08,0.0,0.0,0.05,0.01,0.01,0.07,0.01,0.01,0.0,0.99,0.01,0.0,0.02
DESI2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MT1A,0.44,0.59,0.29,0.69,0.49,0.76,0.24,0.74,0.71,0.39,0.89,0.65,0.47,0.72,0.93,0.82,0.56,0.58,0.61,0.74
COX17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NLGN2,0.97,1.0,0.99,0.84,0.94,1.0,0.99,0.96,0.98,1.0,0.51,0.98,1.0,0.99,0.99,1.0,0.99,0.96,0.97,0.99
HAO1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.97,0.01,0.0,0.0,0.03,0.1,0.01,0.01,0.0,0.0
PKMYT1,1.0,0.99,1.0,1.0,1.0,0.99,1.0,0.79,0.88,0.98,0.95,0.99,1.0,1.0,0.98,0.98,1.0,1.0,0.87,1.0
FAM89B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MED8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PHF1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM69A,0.95,0.99,0.95,1.0,1.0,1.0,1.0,0.99,0.85,1.0,0.99,0.99,1.0,0.9,0.98,0.99,0.96,1.0,0.99,0.73
ANKMY1,1.0,1.0,0.99,1.0,1.0,0.99,0.98,0.99,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.98,1.0,1.0,1.0
PSMB6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CIB4,0.04,0.02,0.02,0.02,0.02,0.0,0.0,0.27,0.01,0.0,0.0,0.02,0.0,0.03,0.01,0.1,0.0,0.02,0.19,0.02
GUCY1A3,0.6,0.98,0.48,0.76,0.88,0.88,0.81,0.99,0.99,0.92,0.43,0.98,0.97,0.62,0.96,1.0,0.54,0.95,0.94,0.76
PRKG2,0.18,0.13,0.2,0.04,0.3,0.09,0.1,0.31,0.1,0.3,0.01,0.2,0.49,0.1,0.22,0.72,0.46,0.13,0.01,0.07
FBXO45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.96,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.98,1.0,1.0,1.0
AMZ2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM52,0.57,0.64,0.74,0.95,0.85,0.09,0.56,0.1,0.18,0.03,0.85,0.79,0.75,0.89,0.63,0.94,0.27,0.86,0.09,0.81
HLA-DRB1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GCNT4,0.61,0.17,0.15,0.05,0.26,0.01,0.2,0.32,0.28,0.04,0.31,0.17,0.1,0.01,0.48,0.02,0.04,0.4,0.37,0.1
EFCAB1,0.34,0.16,0.28,0.0,0.18,0.25,0.4,0.01,0.28,0.24,0.05,0.39,0.62,0.41,0.1,0.57,0.06,0.02,0.0,0.54
KLK8,0.32,0.43,0.71,0.58,0.83,0.01,0.94,0.02,0.04,0.01,0.02,0.31,0.66,1.0,0.74,0.02,0.16,0.48,0.15,0.73
MTF2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.95,1.0,1.0,1.0,0.99,1.0,0.97,1.0,1.0,1.0
RBM15B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOBOX,0.01,0.0,0.03,0.0,0.01,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ATP2A1,0.38,0.16,0.54,0.23,0.42,0.34,0.38,0.23,0.48,0.24,0.11,0.22,0.39,0.43,0.14,0.43,0.21,0.27,0.07,0.46
CALHM1,0.01,0.02,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01
ZNF880,0.96,0.99,0.52,0.68,0.55,1.0,0.61,0.99,0.99,1.0,0.45,0.98,0.87,1.0,0.98,1.0,0.96,0.8,1.0,1.0
NCAPG,0.98,0.96,1.0,1.0,1.0,0.96,1.0,0.5,0.2,0.43,0.72,0.87,1.0,0.99,0.9,0.3,0.97,0.97,0.1,0.98
CLPSL2,0.11,0.69,0.16,0.01,0.06,0.01,0.01,0.0,0.02,0.0,0.04,0.35,0.09,0.15,0.07,0.01,0.0,0.07,0.16,0.37
MELTF,0.86,0.97,0.99,1.0,0.97,0.95,0.96,0.4,0.6,0.85,0.53,0.93,1.0,0.99,0.97,0.97,0.96,0.96,0.98,0.94
PTPRB,0.75,0.88,0.57,0.99,0.82,0.87,0.55,0.98,0.58,0.97,0.63,0.95,0.77,0.21,0.97,0.87,0.6,0.99,0.98,0.56
TMCO1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
RAB5C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NPBWR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
CEBPE,0.0,0.0,0.05,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0
TRABD2B,0.2,0.29,0.06,0.05,0.18,0.02,0.05,0.97,0.98,0.0,0.41,0.12,0.07,0.11,0.76,0.17,0.05,0.39,0.09,0.2
KLK10,0.37,0.5,0.87,0.91,0.91,0.0,0.97,0.04,0.06,0.01,0.03,0.69,0.82,0.99,0.93,0.87,0.21,0.78,0.82,0.87
KDM5B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STPG1,1.0,1.0,1.0,1.0,1.0,0.82,1.0,0.99,0.99,0.62,0.69,1.0,1.0,1.0,1.0,1.0,0.97,0.99,1.0,1.0
PTPRH,0.45,0.11,0.74,0.99,0.74,0.28,0.6,0.13,0.36,0.35,0.92,0.71,0.59,0.18,1.0,0.01,0.73,0.98,0.0,0.38
PCMTD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
OR14A16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLRA3,0.02,0.16,0.0,0.0,0.01,0.1,0.0,0.0,0.0,0.47,0.0,0.07,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.01
FRMD8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HELZ2,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.99,1.0,0.99,0.98,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0
FAM188B,0.96,0.89,0.97,0.99,0.96,0.96,0.96,0.98,0.99,0.82,0.65,0.99,0.96,1.0,0.99,1.0,0.86,0.97,1.0,1.0
MAP2K7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GRIP1,0.6,0.8,0.55,0.36,0.71,0.07,0.75,0.35,0.74,0.44,0.03,0.42,0.7,0.62,0.41,0.72,0.36,0.29,0.63,0.75
SLC2A1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C6orf229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02
WNT1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01
SNRPD2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MUSK,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.02,0.0,0.01,0.1,0.0,0.0
PTPN4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.98,1.0,1.0,1.0,0.99,1.0,0.97,1.0,1.0,0.99
CDY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LZIC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SPATA31D1,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MASP2,0.02,0.03,0.01,0.02,0.14,0.25,0.0,0.07,0.08,0.23,0.95,0.04,0.01,0.07,0.02,0.02,0.03,0.11,0.02,0.02
RPRM,0.28,0.06,0.21,0.04,0.19,0.69,0.2,0.02,0.09,0.97,0.02,0.22,0.42,0.44,0.03,0.74,0.04,0.1,0.15,0.35
SPAG11B,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.17,0.0,0.03,0.0,0.0,0.04,0.07
TNNT1,0.72,0.84,0.94,0.45,0.72,0.55,0.98,0.19,0.3,0.75,0.19,0.8,0.92,0.99,0.71,0.2,0.73,0.47,0.12,0.85
XKR5,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.01
MT-ND1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CAMK1,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,0.99
DEFA1,0.05,0.01,0.07,0.03,0.02,0.3,0.04,0.21,0.1,0.08,0.08,0.1,0.09,0.01,0.1,0.01,0.03,0.05,0.01,0.04
H6PD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GRAMD1C,0.86,0.9,0.94,0.82,0.9,0.96,0.7,0.98,0.98,0.94,0.75,0.96,0.84,0.93,0.98,0.89,0.4,0.82,0.96,0.86
WFDC1,0.92,0.57,0.77,0.97,0.84,0.74,0.59,0.89,0.82,0.82,0.35,0.83,0.67,0.62,0.9,0.99,0.55,0.95,0.58,0.87
RPS6KB1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
KCNE4,0.49,0.92,0.13,0.59,0.45,0.96,0.55,0.98,0.31,0.61,0.32,0.8,0.66,0.42,0.98,0.42,0.62,0.72,0.87,0.33
FCGR2B,0.78,0.99,0.88,0.73,0.73,0.93,0.89,0.97,0.93,0.31,0.6,1.0,0.97,0.94,0.94,0.73,0.95,0.86,0.87,0.83
HOXC13,0.55,0.8,0.71,0.02,0.67,0.32,0.84,0.01,0.06,0.03,0.01,0.29,0.67,0.05,0.03,0.02,0.62,0.25,0.0,0.12
PHYKPL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRIM27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PHLDA2,0.99,0.97,1.0,1.0,1.0,0.77,1.0,0.91,0.79,0.09,0.82,1.0,0.99,1.0,0.98,0.99,0.98,1.0,0.99,0.96
CBL,0.92,0.97,0.92,0.98,1.0,0.98,0.94,0.99,0.93,1.0,0.29,0.95,0.98,0.96,0.96,0.85,0.97,1.0,0.98,0.84
SMAP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TERB2,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLN1,0.05,0.06,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.12,0.0,0.74,0.01,0.03,0.0,0.01
EVPL,0.98,0.99,1.0,0.99,0.98,0.0,1.0,0.86,0.98,0.0,0.19,0.98,0.99,0.99,0.94,1.0,0.16,0.98,1.0,0.97
SMIM2,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.03,0.06,0.01,0.03,0.01,0.01,0.03,0.01,0.01,0.03,0.0,0.0,0.04
RDH12,0.24,0.09,0.24,0.01,0.35,0.09,0.66,0.27,0.35,0.06,0.62,0.09,0.18,0.04,0.38,0.57,0.34,0.17,0.21,0.2
IL27RA,0.87,0.97,0.97,0.98,0.93,0.94,0.98,0.98,0.99,0.86,0.69,1.0,0.99,0.94,0.99,0.89,0.91,0.99,1.0,0.96
OR10H1,0.1,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
BRDT,0.06,0.02,0.02,0.0,0.12,0.0,0.1,0.0,0.0,0.0,0.03,0.28,0.2,0.01,0.0,0.0,0.0,0.03,0.0,0.02
WDR70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
