sample,BLCA,BRCA,CESC,CRC,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PRAD,SKCM,STAD,THCA,UCEC
GRIK2,0.04,0.04,0.04,0.03,0.06,0.9,0.05,0.0,0.02,0.99,0.04,0.18,0.16,0.03,0.08,0.06,0.37,0.02,0.27,0.29
NFATC1,0.79,0.99,0.95,0.68,0.97,1.0,0.99,0.99,0.97,0.87,0.58,0.98,0.99,0.92,0.98,1.0,0.97,0.97,0.95,0.86
POLD4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MOBP,0.01,0.0,0.02,0.0,0.02,0.72,0.02,0.0,0.0,0.92,0.0,0.03,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.02
ZNF706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CLIC4,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HINT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YAF2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.99
UCN,0.3,0.35,0.48,0.17,0.21,0.87,0.13,0.23,0.72,0.93,0.41,0.33,0.12,0.22,0.33,0.62,0.4,0.17,0.63,0.36
TCEAL9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PHF23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HAUS2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
RPUSD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CEP63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOSTRIN,0.83,0.97,0.62,1.0,0.76,0.98,0.43,1.0,0.99,1.0,0.91,0.99,0.69,0.77,0.99,0.99,0.53,0.98,0.99,0.92
OR4K2,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHA1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F7,0.01,0.56,0.04,0.21,0.06,0.02,0.02,0.02,0.09,0.1,0.98,0.12,0.03,0.02,0.06,0.01,0.06,0.12,0.02,0.03
SLAIN1,0.53,0.48,0.34,0.34,0.56,1.0,0.28,0.95,0.99,1.0,0.4,0.96,0.68,0.99,0.94,1.0,0.79,0.79,1.0,0.95
RANBP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTXN3,0.0,0.0,0.0,0.0,0.01,0.04,0.01,0.24,0.07,0.17,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.02
TMEM131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRTAP9-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
ZMAT1,0.36,0.93,0.63,0.27,0.29,0.97,0.12,0.97,0.95,1.0,0.62,0.74,0.37,0.52,0.87,0.99,0.49,0.34,1.0,0.77
ATP7B,0.38,0.83,0.32,0.99,0.61,0.27,0.1,0.91,0.92,0.7,0.92,0.55,0.32,0.85,0.78,0.95,0.56,0.92,0.06,0.88
ABCG2,0.29,0.4,0.11,0.23,0.39,0.99,0.22,0.9,0.25,1.0,0.8,0.47,0.36,0.17,0.43,0.82,0.34,0.5,0.83,0.31
PELP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XRCC2,0.69,0.65,0.9,0.91,0.87,0.58,0.64,0.05,0.06,0.16,0.14,0.54,0.88,0.81,0.07,0.05,0.65,0.79,0.0,0.77
GNG3,0.02,0.11,0.02,0.03,0.06,0.93,0.01,0.01,0.02,0.97,0.0,0.02,0.02,0.11,0.12,0.02,0.02,0.04,0.0,0.08
FAM111B,0.9,0.95,1.0,0.99,0.99,0.82,0.97,0.56,0.27,0.27,0.64,0.86,0.96,0.83,0.76,0.54,0.81,0.95,0.63,0.81
MAGT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SDF2L1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HIST1H4A,0.02,0.01,0.02,0.03,0.03,0.05,0.0,0.01,0.0,0.01,0.0,0.02,0.01,0.03,0.0,0.01,0.0,0.05,0.0,0.06
CFAP53,0.22,0.49,0.14,0.0,0.11,0.48,0.15,0.51,0.83,0.45,0.03,0.31,0.38,0.45,0.06,0.1,0.03,0.02,0.82,0.67
COQ10B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OXSR1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DYSF,0.97,0.99,0.86,0.95,0.96,0.96,0.98,1.0,0.84,0.91,1.0,0.99,0.96,0.97,0.98,0.95,0.97,0.98,1.0,0.98
ADGRF4,0.86,0.05,0.75,0.68,0.71,0.0,0.93,0.08,0.06,0.0,0.01,0.43,0.75,0.03,0.72,0.0,0.06,0.28,0.08,0.09
NPC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EPHB1,0.07,0.21,0.1,0.37,0.35,0.87,0.22,0.31,0.31,0.98,0.03,0.21,0.42,0.4,0.11,0.11,0.21,0.38,0.65,0.28
ATG12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF257,0.44,0.54,0.04,0.06,0.12,0.21,0.04,0.15,0.05,0.33,0.1,0.27,0.17,0.74,0.08,0.03,0.18,0.13,0.23,0.32
TNRC6A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
RPL21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HSF2,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,0.92,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0
HTRA2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM124B,0.06,0.27,0.04,0.05,0.09,0.37,0.05,0.42,0.01,0.18,0.22,0.13,0.05,0.0,0.34,0.01,0.05,0.23,0.21,0.07
CYP4Z1,0.13,0.61,0.18,0.01,0.02,0.0,0.04,0.0,0.0,0.0,0.02,0.08,0.1,0.28,0.01,0.01,0.0,0.01,0.01,0.12
ACTN2,0.09,0.18,0.02,0.0,0.07,0.99,0.4,0.17,0.09,1.0,0.34,0.05,0.07,0.06,0.03,0.2,0.23,0.12,0.01,0.08
HNRNPH2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COL4A6,0.75,0.25,0.31,0.02,0.59,0.43,0.82,0.02,0.09,0.26,0.04,0.07,0.78,0.16,0.04,0.69,0.04,0.25,0.02,0.1
NEU4,0.02,0.09,0.16,0.8,0.21,0.9,0.08,0.06,0.12,0.99,0.75,0.03,0.04,0.51,0.09,0.01,0.03,0.3,0.03,0.12
KLHL42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.87,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99
ZADH2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM117B,0.96,0.99,0.95,1.0,1.0,0.92,0.92,0.98,0.98,0.99,0.31,0.99,1.0,0.99,0.99,1.0,0.88,0.99,0.98,1.0
PREPL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZKSCAN2,0.21,0.79,0.21,0.18,0.3,0.81,0.15,0.46,0.79,0.99,0.1,0.52,0.36,0.33,0.15,0.6,0.74,0.29,0.79,0.61
GNPAT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INHA,0.17,0.23,0.13,0.03,0.11,0.31,0.04,0.15,0.22,0.38,0.12,0.3,0.19,0.62,0.42,0.1,0.2,0.13,0.05,0.25
ADGRG7,0.05,0.02,0.05,0.51,0.34,0.06,0.02,0.01,0.03,0.03,0.34,0.03,0.05,0.02,0.22,0.01,0.02,0.58,0.02,0.02
